alex|1|6|4|-1|1,2,3,4,5,6|2021|6|19|17|32|44
cristi|2|5|2|-1|3,5,7,9,2|2021|5|25|12|50|35
marcel|1|4|2|6||2021|5|27|13|50|19
cristi|1|5|3|-1|1,3,5,7,8|2021|6|20|13|45|21
cristi|1|4|2|-1|1,2,3,4|2021|6|29|15|23|30
cristi|1|25|2|300||2021|6|29|15|39|3
cristi|1|3|2|3||2021|6|30|19|22|1
cristi|1|3|2|-1|1,2,3|2021|6|30|19|22|9
cristi|1|5|7|1||2021|6|30|20|5|7
cristi|1|5|7|1||2021|6|30|20|5|8
cristi|1|5|7|1||2021|6|30|20|5|8
cristi|1|5|2|10||2021|6|30|20|5|26
cristi|1|5|2|-1|1,3,5,7,9|2021|6|30|20|5|43
cristi|1|3|2|3||2021|6|30|20|7|18
cristi|1|3|2|-1|1,2,3|2021|6|30|20|7|19
cristi|1|5|3|10||2021|6|30|21|49|54
cristi|1|5|3|-1|1,5,7,2,3|2021|6|30|21|50|1
cristi|1|20|7|77520||2021|7|5|11|49|29
cristi|1|15|7|6435||2021|7|5|11|49|38
cristi|1|5|3|-1|1,2,4,5,8|2021|7|6|13|7|58
cristi|1|5|3|10||2021|7|6|13|8|0
cristi|1|5|2|10||2021|7|7|15|33|1
cristi|1|5|2|-1|2,4,6,8,1|2021|7|7|15|33|16
cristi|1|5|2|10||2021|7|7|15|34|26
cristi|1|5|2|-1|1,3,5,7,9|2021|7|7|15|34|35
cristi|1|5|2|10||2021|7|7|15|37|44
cristi|1|5|2|-1|1,4,5,7,2|2021|7|7|15|37|52
cristi|1|21|2|210||2021|7|7|15|37|57
cristi|2|5|4|5||2021|7|7|15|38|9
cristi|2|5|4|-1|1,2,3,4,5|2021|7|7|15|38|16
cristi|1|5|2|10||2021|7|7|15|44|0
cristi|1|5|2|-1|1,2,3,4,5|2021|7|7|15|44|9
cristi|2|5|2|60||2021|7|7|15|44|19
cristi|2|5|2|-1|1,3,5,7,9|2021|7|7|15|44|29
cristi|3|5|1|120||2021|7|7|15|44|42
cristi|3|3|1|6||2021|7|7|15|44|47
cristi|3|3|1|-1|1,3,5|2021|7|7|15|44|51
